LOG	TIMESTAMP
bh: [400] You've made a bad request! Please check your request params & body at validateAttachment (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:299370) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at /Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:311210 at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Mh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:256910) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Jh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291481) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Qh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291860) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32)	11/12/2025, 10:54:54 AM
Request to /api/v1/message/attachment took 1 ms	11/12/2025, 10:54:54 AM
Raw Error: bh: [400] You've made a bad request! Please check your request params & body	11/12/2025, 10:54:54 AM
API Error: [400] You've made a bad request! Please check your request params & body -> A 'tempGuid' is required when sending via AppleScript	11/12/2025, 10:54:54 AM
Request to /api/v1/message/attachment (URL Params: {})	11/12/2025, 10:54:54 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:54:47 AM
Request to /api/v1/chat/iMessage%3B-%3B%2B13053936666/read took 1 ms	11/12/2025, 10:54:47 AM
Request to /api/v1/chat/iMessage%3B-%3B%2B13053936666/read (URL Params: {})	11/12/2025, 10:54:47 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:54:30 AM
[BlueBubblesServer] Delivered message from [You]: ["ok"; Date: 11/12/2025, 10:54:29 AM] - [11/12/2025, 10:54:29 AM]	11/12/2025, 10:54:30 AM
Request to /api/v1/message/attachment took 1 ms	11/12/2025, 10:54:29 AM
bh: [400] You've made a bad request! Please check your request params & body at validateAttachment (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:299370) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at /Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:311210 at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Mh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:256910) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Jh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291481) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Qh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291860) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32)	11/12/2025, 10:54:29 AM
Request to /api/v1/message/attachment (URL Params: {})	11/12/2025, 10:54:29 AM
Raw Error: bh: [400] You've made a bad request! Please check your request params & body	11/12/2025, 10:54:29 AM
API Error: [400] You've made a bad request! Please check your request params & body -> A 'tempGuid' is required when sending via AppleScript	11/12/2025, 10:54:29 AM
[BlueBubblesServer] New Message from You, "ok"; Date: 11/12/2025, 10:54:29 AM	11/12/2025, 10:54:29 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:54:29 AM
Request to /api/v1/message/text took 260 ms	11/12/2025, 10:54:29 AM
[WebhookService] Dispatching event to webhook: https://8bb41dbe-f08e-48eb-a4e6-b7cff9250c1a-00-2vhiuc4jpu1u6.worf.replit.dev/api/imessage/webhook/dls-insurance-group	11/12/2025, 10:54:28 AM
Adding await for chat: "iMessage;-;+13053936666"; text: ok; tempGuid: N/A	11/12/2025, 10:54:28 AM
Request to /api/v1/message/text (URL Params: {})	11/12/2025, 10:54:28 AM
Sending message "ok" to iMessage;-;+13053936666	11/12/2025, 10:54:28 AM
Request to /api/v1/message/attachment took 2 ms	11/12/2025, 10:54:09 AM
bh: [400] You've made a bad request! Please check your request params & body at validateAttachment (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:299370) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at /Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:311210 at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Mh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:256910) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Jh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291481) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32) at Qh (/Applications/BlueBubbles.app/Contents/Resources/app.asar/dist/main.js:1:291860) at dispatch (/Applications/BlueBubbles.app/Contents/Resources/app.asar/node_modules/koa-compose/index.js:42:32)	11/12/2025, 10:54:09 AM
Request to /api/v1/message/attachment (URL Params: {})	11/12/2025, 10:54:09 AM
Raw Error: bh: [400] You've made a bad request! Please check your request params & body	11/12/2025, 10:54:09 AM
API Error: [400] You've made a bad request! Please check your request params & body -> A 'tempGuid' is required when sending via AppleScript	11/12/2025, 10:54:09 AM
